age_group,scenario_name,target,target_end_date,location,value,type,quantile,model_projection_date
0-4,no_change,3 wk ahead inc case,07/10/2021,Oklahoma,16,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Oklahoma,21,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Oklahoma,21,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Oklahoma,14,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Oklahoma,21,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Oklahoma,21,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Oklahoma,14,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Oklahoma,19,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Oklahoma,23,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Oklahoma,13,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Oklahoma,14,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Oklahoma,28,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Oregon,42,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Oregon,51,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Oregon,59,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Oregon,46,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Oregon,50,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Oregon,57,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Oregon,49,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Oregon,56,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Oregon,66,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Oregon,45,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Oregon,56,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Oregon,75,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Oregon,42,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Oregon,63,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Oregon,86,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Oregon,40,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Oregon,63,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Oregon,95,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Pennsylvania,42,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Pennsylvania,51,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Pennsylvania,58,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Pennsylvania,33,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Pennsylvania,38,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Pennsylvania,43,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Pennsylvania,28,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Pennsylvania,33,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Pennsylvania,42,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Pennsylvania,21,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Pennsylvania,28,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Pennsylvania,35,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Pennsylvania,16,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Pennsylvania,24,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Pennsylvania,35,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Pennsylvania,14,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Pennsylvania,21,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Pennsylvania,35,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Rhode Island,7,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Rhode Island,7,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Rhode Island,8,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Rhode Island,7,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Rhode Island,7,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Rhode Island,7,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Rhode Island,7,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Rhode Island,7,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Rhode Island,7,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Rhode Island,7,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Rhode Island,7,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Rhode Island,7,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Rhode Island,6,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Rhode Island,7,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Rhode Island,7,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Rhode Island,0,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Rhode Island,7,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Rhode Island,7,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,South Carolina,17,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,South Carolina,23,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,South Carolina,26,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,South Carolina,14,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,South Carolina,17,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,South Carolina,21,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,South Carolina,14,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,South Carolina,14,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,South Carolina,15,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,South Carolina,7,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,South Carolina,14,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,South Carolina,14,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,South Carolina,7,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,South Carolina,7,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,South Carolina,14,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,South Carolina,7,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,South Carolina,7,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,South Carolina,14,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,South Dakota,0,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,South Dakota,0,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,South Dakota,0,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,South Dakota,0,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,South Dakota,0,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,South Dakota,0,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,South Dakota,0,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,South Dakota,0,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,South Dakota,0,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,South Dakota,0,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,South Dakota,0,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,South Dakota,0,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,South Dakota,0,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,South Dakota,0,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,South Dakota,0,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,South Dakota,0,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,South Dakota,0,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,South Dakota,0,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Tennessee,28,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Tennessee,33,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Tennessee,39,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Tennessee,22,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Tennessee,26,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Tennessee,29,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Tennessee,17,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Tennessee,21,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Tennessee,24,quantile,0.975,06/20/2021
