county,id,day_to_overload
Kings County NY,36047,13
Queens County NY,36081,0
New York County NY,36061,15
Bronx County NY,36005,17
Richmond County NY,36085,10
Westchester County NY,36119,13
Bergen County NJ,34003,12
Hudson County NJ,34017,10
Passaic County NJ,34031,13
Putnam County NY,36079,9
Rockland County NY,36087,12
