county,id,day_to_overload
Kings County NY,36047,15
Queens County NY,36081,3
New York County NY,36061,21
Bronx County NY,36005,21
Richmond County NY,36085,14
Westchester County NY,36119,21
Bergen County NJ,34003,15
Hudson County NJ,34017,14
Passaic County NJ,34031,17
Putnam County NY,36079,17
Rockland County NY,36087,12
