location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Illinois,17,04/09/20, 12, 15, 18, 23, 26, 31, 32, 34, 37, 39, 41, 43, 45, 48, 53, 56, 59, 64, 66, 72, 99, 114, 127, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5, 5, 6, 6, 6, 7, 9, 11, 13, 16, 6, 10, 25, 54, 83, 114, 133, 145, 169, 188, 209, 227, 248, 264, 280, 306, 336, 355, 377, 398, 441, 449, 456
Indiana,18,04/09/20, 4, 7, 8, 9, 10, 11, 12, 12, 14, 16, 17, 18, 18, 19, 21, 22, 25, 26, 29, 31, 36, 40, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 3, 6, 7, 13, 16, 20, 22, 25, 30, 36, 38, 43, 46, 49, 53, 62, 67, 72, 74, 76, 82, 83, 85
Iowa,19,04/09/20, 0, 0, 2, 2, 4, 4, 5, 6, 6, 7, 7, 9, 9, 10, 11, 12, 15, 16, 17, 22, 28, 31, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 3, 4, 0, 0, 0, 1, 2, 3, 6, 8, 8, 8, 11, 15, 16, 16, 16, 19, 23, 27, 29, 29, 32, 37, 38
Kansas,20,04/09/20, 0, 0, 0, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 5, 6, 6, 8, 8, 9, 12, 14, 14, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 0, 0, 1, 4, 4, 4, 5, 5, 5, 6, 6, 8, 9, 11, 12, 14, 16, 16, 16, 18, 24, 26, 27
Kentucky,21,04/09/20, 2, 3, 4, 5, 6, 7, 8, 9, 9, 10, 11, 12, 13, 14, 16, 17, 19, 21, 23, 29, 38, 41, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 3, 3, 5, 6, 1, 1, 9, 17, 18, 18, 19, 19, 23, 24, 27, 32, 34, 40, 41, 45, 46, 47, 51, 53, 62, 70, 73
Louisiana,22,04/09/20, 46, 50, 52, 56, 61, 64, 68, 71, 73, 75, 83, 87, 94, 101, 105, 116, 129, 135, 147, 158, 190, 209, 446, 2, 2, 3, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 12, 12, 13, 15, 16, 17, 20, 24, 42, 20, 39, 64, 130, 186, 254, 315, 364, 408, 457, 498, 551, 590, 632, 673, 709, 765, 799, 870, 925, 971, 1029, 1037
Maine,23,04/09/20, 0, 0, 0, 1, 1, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 8, 11, 16, 18, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5
Maryland,24,04/09/20, 6, 8, 10, 12, 13, 15, 16, 18, 20, 21, 22, 24, 27, 29, 32, 34, 35, 38, 43, 45, 62, 70, 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 6, 7, 8, 3, 3, 10, 24, 34, 39, 44, 48, 60, 71, 76, 85, 89, 92, 98, 106, 121, 128, 146, 151, 160, 168, 171
Massachusetts,25,04/09/20, 5, 6, 7, 11, 12, 13, 14, 15, 18, 20, 22, 23, 24, 28, 34, 36, 44, 49, 54, 67, 81, 123, 130, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 7, 9, 13, 17, 5, 6, 26, 65, 90, 101, 113, 119, 142, 156, 162, 176, 188, 195, 205, 218, 227, 244, 262, 274, 293, 305, 307
Michigan,26,04/09/20, 13, 14, 15, 17, 19, 22, 23, 24, 26, 27, 28, 30, 32, 34, 37, 40, 44, 47, 53, 60, 67, 79, 132, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 9, 11, 12, 12, 14, 26, 50, 55, 69, 81, 96, 115, 131, 147, 156, 174, 193, 206, 227, 237, 245, 261, 277, 298, 315, 318
Minnesota,27,04/09/20, 1, 2, 5, 6, 8, 9, 10, 11, 13, 13, 15, 15, 16, 17, 18, 19, 19, 21, 23, 27, 32, 37, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 3, 0, 0, 3, 6, 7, 8, 10, 10, 10, 11, 12, 15, 17, 19, 20, 23, 24, 24, 27, 27, 32, 34, 35
Mississippi,28,04/09/20, 0, 0, 0, 1, 2, 2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 8, 9, 10, 12, 14, 21, 22, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 6, 6
Missouri,29,04/09/20, 1, 1, 1, 2, 3, 3, 3, 4, 5, 5, 6, 6, 6, 7, 8, 8, 9, 10, 11, 12, 17, 18, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 0, 0, 3, 3, 5, 6, 7, 7, 7, 7, 10, 11, 13, 13, 15, 17, 19, 19, 21, 21, 21, 21, 21
Montana,30,04/09/20, 0, 0, 0, 1, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 6, 7, 7, 8, 9, 10, 15, 16, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 1, 3, 3, 3, 3, 3, 3, 4, 4, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 8, 8
Nebraska,31,04/09/20, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 8, 8, 9, 11, 12, 12, 13, 15, 18, 22, 23, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 1, 3, 4, 7, 9, 13, 15, 17, 18, 20, 21, 25, 25, 26, 29, 33, 35, 35, 38, 40, 42, 46, 46
Nevada,32,04/09/20, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 15, 16, 18, 20, 21, 22, 24, 26, 30, 36, 43, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 5, 5, 2, 2, 8, 11, 17, 27, 34, 41, 49, 55, 61, 68, 77, 84, 88, 92, 100, 108, 112, 119, 127, 134, 135
New Hampshire,33,04/09/20, 1, 2, 3, 4, 5, 6, 6, 7, 8, 9, 10, 12, 12, 13, 14, 16, 18, 19, 20, 24, 28, 34, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 2, 2, 6, 11, 16, 23, 24, 24, 27, 28, 28, 31, 34, 37, 42, 49, 53, 53, 57, 60, 66, 68, 69
New Jersey,34,04/09/20, 66, 76, 82, 89, 98, 101, 110, 113, 122, 125, 129, 132, 141, 145, 158, 169, 176, 182, 195, 214, 257, 282, 324, 4, 5, 7, 9, 10, 10, 11, 11, 12, 12, 13, 14, 15, 15, 17, 18, 19, 20, 21, 25, 28, 30, 36, 17, 37, 88, 192, 249, 326, 392, 467, 550, 630, 713, 782, 858, 934, 1017, 1082, 1158, 1218, 1309, 1351, 1455, 1506, 1522
New Mexico,35,04/09/20, 1, 2, 3, 4, 5, 6, 7, 7, 8, 9, 9, 10, 11, 11, 12, 13, 14, 16, 16, 18, 25, 33, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 4, 5, 0, 0, 2, 7, 10, 12, 13, 15, 18, 23, 25, 29, 32, 38, 40, 45, 47, 50, 52, 54, 63, 65, 66
New York,36,04/09/20, 177, 189, 203, 226, 256, 271, 296, 327, 346, 354, 367, 384, 392, 408, 442, 448, 514, 561, 655, 753, 926, 1053, 1349, 17, 21, 25, 28, 30, 32, 34, 35, 37, 39, 41, 42, 44, 46, 51, 57, 59, 63, 71, 77, 90, 109, 143, 102, 154, 313, 646, 830, 1087, 1295, 1452, 1704, 1901, 2079, 2315, 2630, 2829, 3081, 3342, 3533, 3760, 4038, 4292, 4565, 4794, 4855
North Carolina,37,04/09/20, 1, 3, 4, 5, 6, 7, 8, 9, 9, 9, 10, 11, 11, 13, 13, 14, 15, 17, 19, 22, 29, 33, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 3, 1, 2, 2, 5, 5, 8, 11, 11, 11, 12, 15, 19, 21, 21, 21, 24, 24, 25, 29, 30, 32, 34, 34
North Dakota,38,04/09/20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 6, 9, 11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3
Ohio,39,04/09/20, 4, 5, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 21, 22, 24, 25, 28, 29, 34, 35, 38, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 4, 6, 4, 5, 9, 22, 27, 30, 42, 48, 55, 62, 67, 74, 78, 86, 94, 101, 107, 115, 124, 131, 136, 139, 141
Oklahoma,40,04/09/20, 0, 0, 1, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 8, 8, 9, 10, 12, 13, 17, 19, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 0, 0, 1, 4, 4, 5, 5, 8, 10, 10, 12, 15, 16, 17, 19, 20, 21, 21, 23, 24, 24, 24, 24
Oregon,41,04/09/20, 13, 14, 16, 21, 23, 25, 28, 30, 32, 36, 38, 41, 44, 46, 49, 53, 65, 70, 80, 89, 108, 123, 133, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 5, 6, 7, 8, 10, 6, 7, 15, 30, 39, 47, 57, 74, 93, 97, 105, 115, 131, 140, 143, 159, 178, 186, 206, 214, 233, 244, 248
