fips,Scenario_1_sum,Scenario_1_diff,Scenario_2_sum,Scenario_2_diff,Scenario_3_sum,Scenario_3_diff
01001,13,-2,14,-2,13,-2
01003,32,-5,32,-5,33,-5
01005,0,0,0,0,0,0
01007,1,-1,1,-1,1,-1
01009,8,-2,8,-2,8,-2
01011,0,0,0,0,0,0
01013,0,0,0,0,0,0
01015,14,-2,14,-2,14,-2
01017,7,-1,6,-1,7,-1
01019,4,-1,4,-1,4,-1
01021,0,0,0,0,0,0
01023,0,0,0,0,0,0
01025,0,0,0,0,0,0
01027,9,-1,8,-1,8,-1
01029,0,0,0,0,0,0
01031,11,-2,10,-2,10,-2
01033,29,-4,30,-4,30,-4
01035,0,0,0,0,0,0
01037,0,0,0,0,0,0
01039,24,-3,23,-3,22,-3
01041,0,0,0,0,0,0
01043,27,-4,28,-4,27,-4
01045,16,-2,14,-2,15,-2
01047,6,-1,6,-1,6,-1
01049,39,-5,42,-5,41,-5
01051,20,-3,20,-3,19,-3
01053,25,-3,26,-3,25,-3
01055,38,-6,38,-6,38,-6
01057,2,-1,2,-1,2,-1
01059,14,-2,13,-2,14,-2
01061,3,-1,3,-1,3,-1
01063,0,0,0,0,0,0
01065,0,0,0,0,0,0
01067,1,-1,1,-1,1,-1
01069,23,-3,24,-3,23,-3
01071,10,-2,11,-2,11,-2
01073,209,-29,208,-29,209,-29
01075,7,-1,6,-1,6,-1
01077,49,-5,48,-6,48,-6
01079,14,-2,13,-2,14,-2
01081,29,-4,28,-4,29,-4
01083,32,-5,34,-5,34,-5
01085,0,0,0,0,0,0
01087,0,0,0,0,0,0
01089,137,-18,138,-18,136,-18
01091,0,0,0,0,0,0
01093,6,-1,5,-1,5,-1
01095,19,-3,19,-3,20,-3
01097,67,-9,65,-10,66,-10
01099,0,0,0,0,0,0
01101,52,-8,52,-8,52,-8
01103,49,-8,49,-8,49,-8
01105,0,0,0,0,0,0
01107,5,-1,5,-1,3,-1
01109,0,0,0,0,0,0
01111,38,-5,37,-5,37,-5
01113,7,-1,7,-1,7,-1
01115,35,-5,35,-5,35,-5
01117,52,-8,52,-8,52,-8
01119,0,0,0,0,0,0
01121,0,0,0,0,0,0
01123,0,0,0,0,0,0
01125,53,-6,54,-6,54,-6
01127,15,-2,15,-2,15,-2
01129,0,0,0,0,0,0
01131,0,0,0,0,0,0
01133,8,-1,8,-1,8,-1
02013,0,0,0,0,0,0
02016,0,0,0,0,0,0
02020,243,1,237,0,248,2
02050,44,-2,47,-1,47,-1
02060,0,0,0,0,0,0
02068,0,0,0,0,0,0
02070,0,0,0,0,0,0
02090,93,-2,95,-2,93,-2
02100,0,0,0,0,0,0
02105,0,0,0,0,0,0
02110,8,-1,5,-1,5,-1
02122,62,0,64,0,65,0
02130,0,0,0,0,0,0
02150,0,0,0,0,0,0
02158,5,-1,5,-1,5,-1
02164,0,0,0,0,0,0
02170,115,-2,117,-2,110,-2
02180,10,-1,10,-1,10,-1
02185,0,0,0,0,0,0
02188,74,-1,79,0,76,-1
02195,0,0,0,0,0,0
02198,0,0,0,0,0,0
02220,0,0,0,0,0,0
02230,0,0,0,0,0,0
02240,0,0,0,0,0,0
02261,0,0,0,0,0,0
02275,0,0,0,0,0,0
02282,0,0,0,0,0,0
02290,0,0,0,0,0,0
04001,1392,40,1381,31,1422,44
04003,630,15,630,12,661,20
04005,657,10,664,8,677,11
04007,86,-1,88,-1,85,-1
04009,43,0,43,0,44,0
04011,0,0,0,0,0,0
04012,0,0,0,0,0,0
04013,9264,113,9102,53,9490,160
04015,655,20,640,14,691,26
04017,436,4,461,7,452,7
04019,3157,69,3038,33,3198,74
04021,610,-10,636,-8,612,-9
04023,123,6,119,5,130,8
04025,736,19,734,11,761,22
04027,179,0,184,1,189,1
05001,21,0,21,0,21,0
05003,16,1,16,1,14,1
05005,61,0,62,0,63,0
05007,335,4,334,2,339,5
05009,96,1,96,0,95,2
05011,0,0,0,0,0,0
05013,0,0,0,0,0,0
05015,22,-1,22,-1,22,-1
05017,10,1,15,1,13,1
05019,23,0,24,0,27,1
05021,0,0,1,1,0,0
05023,38,1,31,1,36,2
05025,0,0,0,0,0,0
05027,54,0,56,0,58,0
05029,54,2,51,1,56,2
05031,707,31,638,15,718,35
05033,31,-2,30,-2,31,-2
05035,68,1,69,0,72,1
05037,56,4,54,3,58,4
05039,0,0,0,0,0,0
05041,0,0,0,0,0,0
05043,1,1,0,0,2,1
05045,193,2,195,2,203,2
05047,0,0,0,0,0,0
05049,0,0,0,0,0,0
05051,126,0,125,0,125,1
05053,0,0,0,0,0,0
05055,112,4,105,1,110,3
05057,18,0,20,0,19,0
05059,13,-1,11,-1,15,0
05061,22,0,22,1,23,0
05063,71,1,72,1,73,1
05065,26,0,25,1,27,1
05067,9,0,11,0,9,0
05069,84,3,83,2,86,4
05071,25,1,21,0,24,1
05073,0,0,0,0,0,0
05075,46,0,43,0,46,1
05077,0,0,0,0,0,0
05079,0,0,0,0,0,0
05081,16,0,17,-1,18,0
05083,2,-1,2,-1,2,-1
05085,121,0,127,0,129,1
05087,88,3,88,3,94,4
05089,21,-1,21,-1,22,-1
05091,21,0,21,0,21,0
05093,113,0,110,0,113,-1
05095,0,0,0,0,0,0
05097,0,0,0,0,0,0
05099,0,0,0,0,0,0
05101,0,0,0,0,0,0
05103,36,-2,36,-2,36,-1
05105,0,0,0,0,0,0
05107,75,0,79,2,77,1
05109,0,0,0,0,0,0
05111,0,0,0,0,0,0
05113,21,0,22,0,22,0
05115,72,2,71,1,69,1
05117,0,0,0,0,0,0
05119,827,21,793,9,844,23
05121,7,-1,12,0,7,-1
05123,21,0,21,0,21,0
05125,309,6,303,2,322,6
05127,0,0,0,0,0,0
05129,0,0,0,0,0,0
05131,197,3,188,0,202,4
05133,9,1,8,1,10,1
05135,2,0,2,0,1,0
05137,4,-1,4,-1,4,-1
05139,45,-1,46,-1,45,-1
05141,52,3,51,2,57,3
05143,485,11,470,6,492,12
05145,163,1,165,2,173,3
05147,0,0,0,0,0,0
05149,43,2,42,1,45,3
06001,3369,37,3372,26,3451,46
06003,0,0,0,0,0,0
06005,18,-1,19,0,18,0
06007,509,18,505,14,525,20
06009,52,0,54,1,53,1
06011,26,1,20,0,27,1
06013,2099,9,2153,6,2157,14
06015,8,0,10,1,13,1
