fips,Scenario_1_sum,Scenario_1_diff,Scenario_2_sum,Scenario_2_diff,Scenario_3_sum,Scenario_3_diff
01001,492,17,468,10,497,17
01003,1075,28,1043,15,1101,28
01005,50,1,50,1,51,1
01007,42,0,42,0,42,0
01009,435,16,415,9,445,17
01011,13,1,15,1,12,1
01013,73,-1,75,0,74,0
01015,637,15,622,11,658,16
01017,180,2,182,3,183,3
01019,170,-1,168,-1,165,-2
01021,164,8,152,5,171,9
01023,0,0,0,0,0,0
01025,107,1,106,1,106,1
01027,62,0,61,0,63,1
01029,13,1,12,1,12,1
01031,190,5,179,3,199,6
01033,359,6,351,4,368,7
01035,20,0,20,0,18,0
01037,69,0,66,-1,71,1
01039,77,-1,78,-1,77,-1
01041,89,2,89,2,90,2
01043,509,14,486,9,508,13
01045,232,7,223,6,240,9
01047,228,8,223,4,239,9
01049,309,13,286,6,319,14
01051,704,26,685,18,727,31
01053,62,-3,67,-3,61,-3
01055,606,21,577,14,605,21
01057,88,4,84,3,94,4
01059,106,1,107,0,109,0
01061,117,6,110,4,123,7
01063,13,0,18,1,12,1
01065,97,1,101,2,105,2
01067,18,1,18,1,18,1
01069,535,17,511,11,551,21
01071,321,4,322,2,336,5
01073,4199,127,4016,70,4335,141
01075,24,0,26,1,27,1
01077,411,7,395,3,419,10
01079,139,5,131,4,140,5
01081,1449,82,1295,40,1501,92
01083,568,14,540,9,571,15
01085,21,0,23,0,22,0
01087,81,0,84,1,88,1
01089,2196,48,2139,31,2258,56
01091,22,1,21,0,24,1
01093,343,13,320,9,341,14
01095,689,31,626,18,717,37
01097,2593,111,2395,56,2698,136
01099,119,3,108,0,118,2
01101,2114,52,2073,37,2166,64
01103,931,21,918,18,956,27
01105,21,0,21,0,21,0
01107,45,0,46,0,50,1
01109,73,1,73,1,74,1
01111,87,2,83,1,89,4
01113,425,22,397,13,439,25
01115,1044,46,969,28,1077,53
01117,1400,45,1330,27,1437,53
01119,0,0,0,0,0,0
01121,37,-1,36,-1,42,0
01123,9,0,6,0,10,0
01125,1569,43,1495,27,1610,55
01127,468,18,448,13,490,22
01129,0,0,0,0,0,0
01131,21,0,21,0,21,0
01133,214,5,208,3,222,7
02013,0,0,0,0,0,0
02016,0,0,0,0,0,0
02020,580,16,551,8,596,19
02050,41,-1,45,0,46,0
02060,0,0,0,0,0,0
02068,0,0,0,0,0,0
02070,0,0,0,0,0,0
02090,38,-2,41,-2,43,-1
02100,0,0,0,0,0,0
02105,0,0,0,0,0,0
02110,12,-1,15,-1,16,-1
02122,56,0,59,-1,57,-1
02130,0,0,0,0,0,0
02150,2,1,2,0,0,0
02158,0,0,0,0,0,0
02164,0,0,0,0,0,0
02170,155,2,152,0,158,2
02180,0,0,0,0,0,0
02185,0,0,0,0,0,0
02188,12,-2,11,-2,12,-2
02195,0,0,0,0,0,0
02198,0,0,0,0,0,0
02220,0,0,0,0,0,0
02230,0,0,0,0,0,0
02240,0,0,0,0,0,0
02261,0,0,0,0,0,0
02275,0,0,0,0,0,0
02282,0,0,0,0,0,0
02290,0,0,0,0,0,0
04001,611,-12,622,-13,630,-13
04003,524,-13,547,-10,530,-14
04005,365,-17,365,-16,369,-14
04007,223,-6,228,-5,221,-7
04009,118,-2,115,-3,118,-3
04011,58,-1,57,-2,62,0
04012,12,1,14,1,8,0
04013,15426,-170,15198,-240,15668,-91
04015,537,-16,554,-15,549,-15
04017,358,-25,376,-23,358,-24
04019,4045,-75,4115,-75,4142,-64
04021,1068,-71,1122,-62,1078,-70
04023,276,1,270,0,276,2
