fips,Scenario_1_sum,Scenario_1_diff,Scenario_2_sum,Scenario_2_diff,Scenario_3_sum,Scenario_3_diff
01001,1694,-37,1710,-33,1695,-30
01003,12161,160,12095,107,12286,182
01005,2086,44,2085,39,2098,46
01007,1018,-18,1062,-11,1020,-15
01009,2075,0,2120,4,2082,-1
01011,279,-13,303,-10,280,-13
01013,827,-14,857,-10,823,-11
01015,6141,242,5654,141,6258,271
01017,1362,-48,1413,-42,1360,-48
01019,1017,12,1015,12,1029,16
01021,2254,6,2309,9,2258,8
01023,477,-1,503,1,484,-1
01025,1670,22,1677,22,1664,21
01027,748,-7,772,-5,747,-8
01029,287,-1,291,-1,291,-2
01031,1823,-47,1913,-37,1824,-49
01033,2970,3,3005,2,3007,7
01035,418,-8,440,-4,415,-8
01037,461,2,456,2,458,4
01039,1955,62,1886,44,1989,69
01041,588,3,599,-1,597,2
01043,3440,-17,3514,-11,3478,-12
01045,1877,-30,1944,-18,1870,-29
01047,1747,9,1765,9,1762,12
01049,3236,80,3136,54,3270,83
01051,2495,-84,2649,-63,2511,-78
01053,2680,65,2661,49,2716,68
01055,5089,19,5214,27,5147,29
01057,500,-5,523,-2,512,-3
01059,1480,14,1521,17,1489,14
01061,763,18,748,11,775,19
01063,185,-5,197,-2,189,-5
01065,889,-12,941,-5,889,-11
01067,670,-3,706,0,677,-4
01069,4360,-7,4534,13,4397,2
01071,1642,-11,1695,-1,1653,-6
01073,22043,-1319,23245,-1133,22057,-1312
01075,511,4,530,6,512,4
01077,4647,10,4662,19,4661,24
01079,941,12,898,1,952,12
01081,9850,68,9857,43,9991,83
01083,4110,-66,4312,-42,4151,-54
01085,478,-7,491,-8,483,-9
01087,802,-10,805,-13,799,-11
01089,14368,-457,15111,-359,14455,-462
01091,638,-7,677,-3,645,-7
01093,1536,11,1577,14,1532,16
01095,3830,23,3820,8,3849,30
01097,17822,-684,18851,-558,17932,-667
01099,1302,56,1171,27,1332,63
01101,8548,-199,8635,-202,8642,-176
01103,5297,-81,5515,-50,5340,-72
01105,312,-9,336,-5,317,-8
01107,1341,-6,1391,2,1349,-3
01109,923,6,897,-2,930,7
01111,735,1,734,-2,749,4
01113,1877,26,1853,14,1905,28
01115,5034,-36,5192,-22,5046,-30
01117,7907,-227,8327,-164,7936,-223
01119,530,1,511,-3,525,0
01121,2403,-153,2428,-153,2431,-156
01123,1418,-71,1491,-61,1425,-71
01125,14759,161,14899,145,14906,193
01127,2456,14,2532,15,2499,17
01129,294,-7,318,-4,299,-6
01131,518,-6,555,-2,522,-6
01133,872,-2,908,1,877,-4
02013,71,-4,80,-3,72,-4
02016,112,-7,121,-6,112,-7
02020,25140,-334,26500,-159,25245,-323
02050,1405,66,1363,55,1436,69
02060,0,0,0,0,0,0
02068,0,0,0,0,0,0
02070,37,-1,42,0,37,-1
02090,7949,225,8055,222,8011,232
02100,0,0,0,0,0,0
02105,0,0,0,0,0,0
02110,2441,5,2533,11,2470,7
02122,2832,118,2733,87,2876,130
02130,420,4,448,7,424,4
02150,2115,43,2220,52,2134,45
02158,508,11,537,14,509,12
02164,30,-2,31,-1,29,-2
02170,3757,90,3807,88,3795,100
02180,642,15,675,19,654,16
02185,455,11,455,15,456,15
02188,320,2,347,5,328,2
02195,0,0,0,0,0,0
02198,170,1,183,4,170,2
02220,452,-1,474,1,458,-2
02230,0,0,0,0,0,0
02240,57,-1,61,-1,55,-1
02261,0,0,0,0,0,0
02275,67,-4,72,-3,67,-4
02282,43,-4,45,-4,40,-4
02290,81,-6,87,-5,82,-6
04001,4057,101,3965,79,4126,111
04003,7672,115,7874,128,7737,123
04005,8406,-211,8892,-141,8456,-202
04007,2527,-6,2647,10,2542,-3
04009,3056,149,2897,109,3111,159
04011,489,5,502,7,497,6
04012,745,7,781,10,752,10
04013,269641,-502,279266,618,271732,-48
04015,10769,38,11217,85,10862,45
04017,6691,-69,7014,-30,6727,-60
04019,54702,531,55811,599,55223,614
04021,17465,-302,18560,-162,17546,-297
04023,3270,-11,3359,-1,3287,-10
04025,6909,93,6995,89,6967,98
04027,9021,42,9249,66,9098,51
05001,1697,-36,1794,-22,1693,-35
05003,1793,-9,1880,2,1786,-10
05005,1333,23,1331,11,1338,22
05007,15598,-112,16436,-6,15669,-104
05009,2260,22,2346,31,2278,22
05011,800,15,832,20,805,16
05013,60,-4,62,-3,60,-4
05015,1827,47,1849,43,1835,54
05017,530,-4,551,-1,531,-4
05019,1158,-17,1210,-9,1147,-18
05021,957,10,1006,19,951,11
05023,1865,-6,1954,7,1864,-3
05025,670,-2,713,4,681,-3
05027,1453,-16,1536,-7,1464,-15
05029,2024,-6,2146,6,2047,-5
05031,4958,-255,5263,-212,4964,-256
05033,4141,13,4395,38,4175,16
05035,1942,-118,2031,-102,1934,-116
05037,1272,-21,1337,-10,1267,-19
05039,333,-3,361,2,339,-3
05041,846,-22,898,-16,842,-22
05043,1331,4,1389,7,1347,3
05045,6264,-308,6617,-256,6283,-300
05047,997,13,1040,17,998,12
05049,379,2,391,3,383,3
05051,6293,73,6510,92,6341,89
05053,1366,5,1433,14,1384,6
05055,2656,-83,2797,-65,2636,-87
05057,1145,-1,1182,3,1151,0
05059,1735,-28,1846,-13,1762,-26
05061,1090,-17,1159,-10,1088,-17
05063,2423,-17,2574,1,2433,-17
05065,631,-5,657,-1,639,-5
05067,661,-1,685,2,654,-1
05069,4913,-96,5217,-57,4972,-95
05071,1883,49,1932,55,1917,57
05073,180,-6,190,-4,175,-6
05075,636,-7,670,-2,637,-6
05077,567,3,580,5,568,4
05079,765,-6,817,1,774,-4
05081,938,-7,984,-1,942,-9
05083,985,10,1042,15,998,10
05085,3426,-166,3620,-140,3437,-162
05087,966,23,987,21,972,23
05089,517,14,500,10,516,15
05091,2435,31,2500,32,2428,32
05093,1961,-82,2089,-65,1970,-81
05095,355,-9,392,-2,360,-8
05097,125,-3,131,-2,124,-4
05099,437,-10,466,-6,445,-10
05101,429,8,436,9,434,7
05103,1007,-18,1069,-9,1011,-16
05105,517,0,542,2,512,-1
05107,900,-28,966,-19,898,-27
05109,734,-2,775,2,746,-2
05111,795,-52,805,-51,793,-52
05113,740,13,769,17,752,17
05115,4488,-23,4734,-1,4476,-28
05117,444,-5,470,-3,439,-3
05119,25303,-860,26545,-732,25349,-863
05121,486,-10,523,-3,487,-9
05123,1169,-24,1213,-22,1167,-25
05125,7107,-214,7523,-158,7129,-209
05127,157,0,164,1,160,0
05129,675,16,710,21,685,17
