fips,Scenario_1_sum,Scenario_1_diff,Scenario_2_sum,Scenario_2_diff,Scenario_3_sum,Scenario_3_diff
01001,279,-4,281,-3,274,-4
01003,986,-31,1030,-27,1002,-28
01005,171,-5,178,-4,172,-4
01007,134,-8,139,-6,139,-7
01009,170,-5,180,-5,170,-5
01011,59,-1,62,-1,59,-1
01013,116,-5,120,-4,117,-4
01015,377,-26,396,-22,371,-25
01017,113,-4,113,-4,108,-5
01019,108,-4,111,-4,105,-4
01021,154,-4,150,-4,151,-4
01023,0,0,0,0,0,0
01025,79,-3,83,-2,80,-2
01027,45,-3,47,-3,45,-3
01029,485,9,493,10,481,8
01031,125,-8,127,-8,127,-8
01033,265,-17,278,-15,263,-16
01035,20,-2,19,-2,19,-2
01037,66,-3,65,-4,63,-4
01039,127,-4,131,-3,132,-4
01041,50,-3,53,-2,53,-3
01043,696,-20,723,-16,698,-20
01045,183,-7,187,-6,184,-7
01047,118,-4,118,-3,119,-4
01049,193,-12,198,-11,190,-12
01051,406,-13,423,-10,407,-12
01053,79,-5,84,-4,80,-5
01055,415,-9,430,-6,418,-9
01057,151,2,154,2,148,0
01059,433,-10,457,-7,429,-9
01061,45,-3,44,-3,43,-3
01063,12,0,16,1,8,0
01065,51,-3,52,-3,51,-3
01067,44,-3,49,-3,44,-3
01069,469,-20,480,-16,462,-19
01071,205,-10,212,-10,207,-10
01073,3287,-128,3430,-97,3313,-111
01075,65,-3,67,-3,66,-3
01077,359,-22,368,-20,355,-22
01079,162,-7,167,-6,165,-7
01081,647,-19,661,-16,647,-16
01083,473,-26,480,-26,468,-28
01085,28,0,26,0,25,0
01087,182,-2,184,-1,180,-2
01089,1107,-54,1140,-53,1107,-55
01091,58,0,62,0,58,-1
01093,108,-6,110,-6,108,-6
01095,272,-32,275,-32,272,-32
01097,977,-40,1015,-35,982,-39
01099,44,-3,45,-3,43,-3
01101,1031,-29,1080,-21,1030,-26
01103,607,-40,632,-36,613,-38
01105,38,-2,36,-2,36,-2
01107,66,-3,69,-3,63,-3
01109,81,-6,82,-5,80,-6
01111,113,-5,116,-6,114,-5
01113,246,-1,245,-2,243,-3
01115,1421,23,1421,17,1435,22
01117,1169,-41,1194,-37,1176,-39
01119,9,-1,9,-1,9,-1
01121,35,-2,37,-2,35,-2
01123,10,-1,10,-1,11,-1
01125,1435,-31,1480,-24,1428,-31
01127,454,-21,471,-20,453,-22
01129,24,0,25,0,23,0
01131,19,-2,24,-1,19,-2
01133,101,-5,103,-5,102,-5
02013,0,0,0,0,0,0
02016,0,0,0,0,0,0
02020,932,-25,965,-20,931,-26
02050,139,-10,150,-9,141,-10
02060,0,0,0,0,0,0
02068,9,-2,8,-2,9,-2
02070,2,-1,2,-1,2,-1
02090,404,-9,420,-4,404,-8
02100,0,0,0,0,0,0
02105,0,0,0,0,0,0
02110,134,-6,138,-5,133,-6
02122,213,-12,228,-10,213,-11
02130,4,-1,4,-1,5,-1
02150,22,0,23,0,23,0
02158,23,-1,26,-1,24,-1
02164,0,0,0,0,0,0
02170,272,-11,287,-9,275,-11
02180,62,-2,65,-1,63,-3
02185,19,0,21,0,16,0
02188,0,0,0,0,0,0
02195,0,0,0,0,0,0
02198,0,0,0,0,0,0
02220,19,0,22,0,18,-1
02230,0,0,0,0,0,0
02240,10,-1,9,-1,9,-1
02261,0,0,0,0,0,0
02275,0,0,0,0,0,0
02282,0,0,0,0,0,0
02290,0,0,0,0,0,0
04001,601,-8,616,-5,605,-7
04003,265,-13,285,-10,270,-13
04005,185,-9,194,-7,190,-8
