location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Alabama,1,04/16/20, 38, 44, 46, 51, 55, 59, 62, 63, 65, 70, 73, 75, 81, 84, 88, 97, 106, 113, 119, 131, 153, 172, 290, 0, 0, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 7, 9, 11, 16, 20, 16, 19, 21, 24, 27, 29, 30, 31, 34, 35, 36, 38, 40, 45, 48, 51, 53, 60, 64, 76, 85, 94, 131
Alaska,2,04/16/20, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 7, 8, 9, 11, 15, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 9, 14, 16, 19, 26
Arizona,4,04/16/20, 24, 29, 33, 38, 41, 45, 46, 51, 54, 59, 66, 69, 76, 84, 92, 108, 121, 134, 145, 177, 270, 352, 427, 3, 3, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 9, 9, 10, 10, 12, 13, 14, 16, 18, 21, 30, 56, 63, 69, 71, 76, 79, 84, 86, 87, 89, 90, 92, 101, 105, 108, 115, 124, 132, 137, 152, 169, 197, 206
Arkansas,5,04/16/20, 6, 7, 8, 10, 13, 14, 15, 16, 17, 19, 20, 22, 26, 27, 29, 30, 32, 36, 37, 42, 48, 52, 57, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 6, 7, 10, 6, 6, 6, 8, 9, 9, 10, 10, 11, 12, 12, 13, 14, 16, 19, 21, 22, 25, 32, 38, 44, 71, 89
California,6,04/16/20, 326, 350, 371, 418, 464, 492, 525, 588, 623, 641, 718, 752, 831, 882, 988, 1034, 1079, 1295, 1466, 1829, 2271, 2441, 2486, 45, 49, 56, 63, 68, 72, 73, 75, 79, 80, 82, 87, 89, 91, 93, 95, 101, 105, 112, 116, 127, 147, 189, 705, 759, 811, 838, 886, 907, 926, 947, 979, 988, 998, 1026, 1051, 1065, 1111, 1135, 1176, 1232, 1264, 1422, 1622, 1744, 1851
Colorado,8,04/16/20, 68, 72, 76, 83, 95, 101, 107, 115, 135, 142, 147, 157, 171, 183, 192, 209, 224, 245, 268, 297, 361, 420, 467, 14, 16, 18, 20, 20, 21, 21, 22, 23, 23, 25, 27, 28, 29, 29, 31, 34, 36, 37, 42, 46, 49, 53, 184, 190, 204, 216, 232, 242, 249, 261, 266, 274, 283, 301, 310, 320, 333, 347, 364, 379, 398, 442, 471, 551, 731
Connecticut,9,04/16/20, 408, 518, 571, 699, 730, 759, 844, 917, 931, 959, 995, 1046, 1096, 1155, 1192, 1281, 1393, 1481, 1628, 1801, 2120, 2340, 2850, 75, 76, 77, 82, 85, 88, 91, 96, 102, 102, 104, 105, 108, 109, 115, 117, 119, 121, 133, 141, 151, 167, 188, 540, 547, 590, 610, 617, 638, 653, 660, 669, 685, 695, 700, 722, 733, 744, 760, 781, 799, 817, 864, 921, 961, 1025
Delaware,10,04/16/20, 53, 56, 61, 70, 78, 85, 90, 99, 103, 108, 111, 115, 118, 123, 128, 136, 150, 157, 167, 185, 228, 294, 373, 0, 0, 1, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 7, 7, 8, 9, 10, 11, 14, 10, 11, 14, 15, 16, 17, 18, 20, 20, 22, 25, 26, 28, 29, 30, 32, 37, 40, 43, 53, 66, 93, 110
Florida,12,04/16/20, 262, 283, 304, 337, 357, 386, 414, 459, 478, 516, 542, 582, 646, 702, 732, 801, 835, 928, 1070, 1312, 1523, 2276, 3588, 27, 29, 33, 35, 37, 39, 41, 43, 46, 47, 49, 50, 53, 55, 59, 64, 68, 74, 75, 87, 104, 111, 144, 393, 435, 438, 468, 492, 512, 525, 541, 554, 560, 584, 607, 631, 651, 671, 701, 719, 792, 831, 879, 1044, 1272, 1341
Georgia,13,04/16/20, 112, 131, 146, 174, 199, 206, 219, 227, 242, 260, 277, 288, 306, 310, 346, 354, 393, 407, 439, 496, 557, 596, 637, 15, 16, 16, 18, 20, 22, 23, 24, 25, 26, 29, 30, 30, 31, 32, 33, 35, 37, 38, 40, 46, 50, 56, 112, 141, 149, 160, 170, 178, 186, 193, 200, 214, 224, 228, 242, 247, 253, 272, 290, 309, 359, 403, 544, 615, 651
