location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Alabama,1,04/16/20, 35, 41, 43, 50, 52, 56, 58, 63, 68, 71, 72, 78, 83, 86, 93, 98, 104, 108, 118, 126, 145, 153, 257, 0, 0, 1, 1, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 7, 9, 11, 16, 20, 16, 19, 21, 24, 27, 29, 30, 31, 34, 35, 36, 38, 40, 45, 48, 51, 53, 60, 64, 76, 85, 94, 131
Alaska,2,04/16/20, 0, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 7, 8, 10, 11, 11, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 9, 14, 16, 19, 26
Arizona,4,04/16/20, 25, 27, 38, 41, 44, 45, 47, 53, 57, 59, 64, 68, 72, 77, 83, 106, 118, 129, 143, 177, 262, 332, 441, 3, 3, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 9, 9, 10, 10, 12, 13, 14, 16, 18, 21, 30, 56, 63, 69, 71, 76, 79, 84, 86, 87, 89, 90, 92, 101, 105, 108, 115, 124, 132, 137, 152, 169, 197, 206
Arkansas,5,04/16/20, 4, 6, 9, 10, 12, 13, 15, 16, 18, 20, 21, 23, 25, 26, 28, 30, 33, 35, 38, 43, 50, 57, 66, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 6, 7, 10, 6, 6, 6, 8, 9, 9, 10, 10, 11, 12, 12, 13, 14, 16, 19, 21, 22, 25, 32, 38, 44, 71, 89
California,6,04/16/20, 325, 350, 372, 419, 464, 507, 536, 594, 609, 643, 719, 756, 814, 903, 970, 1021, 1074, 1281, 1458, 1850, 2275, 2423, 2474, 45, 49, 56, 63, 68, 72, 73, 75, 79, 80, 82, 87, 89, 91, 93, 95, 101, 105, 112, 116, 127, 147, 189, 705, 759, 811, 838, 886, 907, 926, 947, 979, 988, 998, 1026, 1051, 1065, 1111, 1135, 1176, 1232, 1264, 1422, 1622, 1744, 1851
Colorado,8,04/16/20, 70, 73, 80, 89, 104, 109, 113, 120, 136, 142, 151, 153, 164, 175, 194, 206, 217, 228, 258, 297, 347, 429, 479, 14, 16, 18, 20, 20, 21, 21, 22, 23, 23, 25, 27, 28, 29, 29, 31, 34, 36, 37, 42, 46, 49, 53, 184, 190, 204, 216, 232, 242, 249, 261, 266, 274, 283, 301, 310, 320, 333, 347, 364, 379, 398, 442, 471, 551, 731
Connecticut,9,04/16/20, 428, 510, 539, 684, 724, 757, 835, 901, 944, 978, 1008, 1040, 1087, 1155, 1221, 1283, 1403, 1482, 1624, 1843, 2045, 2226, 2858, 75, 76, 77, 82, 85, 88, 91, 96, 102, 102, 104, 105, 108, 109, 115, 117, 119, 121, 133, 141, 151, 167, 188, 540, 547, 590, 610, 617, 638, 653, 660, 669, 685, 695, 700, 722, 733, 744, 760, 781, 799, 817, 864, 921, 961, 1025
Delaware,10,04/16/20, 51, 56, 64, 67, 71, 85, 90, 93, 99, 106, 109, 112, 121, 129, 132, 138, 146, 155, 171, 190, 229, 283, 387, 0, 0, 1, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 7, 7, 8, 9, 10, 11, 14, 10, 11, 14, 15, 16, 17, 18, 20, 20, 22, 25, 26, 28, 29, 30, 32, 37, 40, 43, 53, 66, 93, 110
Florida,12,04/16/20, 257, 276, 290, 329, 378, 390, 411, 431, 487, 520, 553, 594, 658, 691, 732, 784, 848, 943, 1092, 1313, 1506, 2299, 3549, 27, 29, 33, 35, 37, 39, 41, 43, 46, 47, 49, 50, 53, 55, 59, 64, 68, 74, 75, 87, 104, 111, 144, 393, 435, 438, 468, 492, 512, 525, 541, 554, 560, 584, 607, 631, 651, 671, 701, 719, 792, 831, 879, 1044, 1272, 1341
Georgia,13,04/16/20, 123, 133, 140, 162, 193, 205, 225, 237, 251, 263, 278, 290, 296, 313, 336, 369, 381, 399, 436, 484, 552, 599, 658, 15, 16, 16, 18, 20, 22, 23, 24, 25, 26, 29, 30, 30, 31, 32, 33, 35, 37, 38, 40, 46, 50, 56, 112, 141, 149, 160, 170, 178, 186, 193, 200, 214, 224, 228, 242, 247, 253, 272, 290, 309, 359, 403, 544, 615, 651
