county,id,day_to_overload
Kings County NY,36047,7
Queens County NY,36081,2
New York County NY,36061,13
Bronx County NY,36005,7
Richmond County NY,36085,5
Westchester County NY,36119,2
Bergen County NJ,34003,8
Hudson County NJ,34017,8
Passaic County NJ,34031,7
Putnam County NY,36079,6
Rockland County NY,36087,0
