co_fips,week_1,week_2,week_3
36057,0,0,0
36059,235,226,213
36061,310,285,243
36069,6,7,7
36071,56,69,83
36079,7,7,7
36081,468,467,423
36083,11,14,15
36085,102,97,84
36087,38,42,44
36091,15,17,17
36093,14,16,19
36095,0,0,0
36103,208,215,211
36115,0,0,0
36117,2,5,4
36119,126,118,106
37001,16,20,22
37025,23,29,29
37033,0,0,0
37035,15,21,21
37037,7,7,7
37053,0,0,0
37057,14,15,17
37059,1,1,0
37063,45,50,55
37067,35,35,34
37069,7,7,7
37071,24,26,29
37077,7,7,7
37081,40,42,42
37085,14,16,20
37097,15,14,15
37101,21,22,28
37105,7,5,7
37109,7,7,7
37119,124,130,127
37121,0,0,0
37135,13,14,8
37145,0,0,0
37151,8,10,13
37157,7,6,6
37159,14,14,14
37167,7,7,7
37169,2,1,2
37171,8,8,7
37179,23,21,22
37183,137,154,197
37197,2,3,5
39015,7,7,10
39017,62,74,79
39023,25,33,43
39025,37,43,48
39027,6,7,10
39035,174,216,259
39041,28,34,36
39043,12,14,15
39045,26,31,41
39049,210,241,268
39055,7,10,14
39057,35,38,43
39061,143,175,195
39083,7,9,14
39085,28,37,47
39089,29,35,45
39093,51,70,94
39097,0,0,0
39101,13,14,15
39103,25,29,33
39109,21,25,33
39113,122,153,176
39117,1,6,6
39129,0,0,0
39133,21,27,34
39135,7,7,7
39151,39,48,60
39153,61,68,80
39159,10,15,18
39165,41,46,49
39169,13,14,15
40037,11,14,17
40111,6,7,10
40113,7,7,8
40117,0,0,0
40131,16,16,16
40143,113,127,143
40145,14,15,17
40147,7,7,7
41005,39,34,30
41009,2,0,0
41047,39,32,29
41051,99,93,83
41067,58,58,55
41071,7,7,5
42003,168,169,165
42005,0,0,0
42007,15,14,15
42011,30,30,34
42017,75,75,76
42019,20,21,22
42025,7,7,7
42029,71,71,71
42045,80,80,79
42051,7,7,8
42073,0,0,1
42077,48,47,49
42089,20,19,21
42091,124,122,120
42095,51,54,51
42101,259,285,293
42125,23,26,31
42129,28,32,34
42133,42,42,44
44001,0,0,0
44003,7,7,7
44005,1,0,0
44007,32,34,34
44009,7,7,7
45007,21,24,28
45013,24,24,21
45015,28,28,28
45019,48,49,47
45035,28,26,26
45045,68,71,74
45053,0,0,5
45057,10,8,8
45059,7,7,8
45077,16,15,20
45083,42,40,40
45091,28,28,29
47001,8,12,13
47003,7,7,10
47009,21,21,24
47019,7,7,12
47021,1,2,4
47037,89,95,101
47047,6,7,6
47059,11,14,17
47073,7,7,7
47093,64,71,77
47105,7,7,7
47117,2,5,7
47119,15,14,14
47123,6,7,7
47129,0,0,0
47145,7,9,13
47149,48,55,57
47155,14,14,14
47157,106,117,125
47163,22,26,27
47167,9,8,12
47171,0,0,0
47179,14,17,21
47187,27,28,32
47189,22,22,27
48015,0,0,0
48019,0,0,0
48021,15,17,18
48029,374,346,314
48039,77,70,56
48055,7,9,7
48071,7,7,6
48085,165,143,122
48091,22,21,23
48113,361,357,345
48121,135,134,124
48139,27,28,29
48157,165,143,120
48167,78,64,53
48181,14,14,19
48187,22,16,15
48201,765,669,591
48209,50,45,40
48221,0,1,0
48251,21,24,27
48257,20,20,22
48259,0,0,0
48325,0,0,0
48339,86,74,65
48367,14,16,18
48397,14,12,7
48407,0,0,3
48439,330,327,317
48453,228,200,173
48471,8,7,10
48473,6,2,2
48481,7,7,7
48491,121,140,171
48497,7,4,1
49011,64,67,64
49029,0,0,0
49035,207,211,207
49043,7,7,6
49045,14,14,14
49049,85,89,93
49051,7,7,7
49057,0,0,0
51007,0,0,0
51013,31,29,28
51033,0,0,0
51041,38,37,33
51043,0,0,0
51049,0,0,0
51059,109,105,101
51061,1,0,0
51075,0,0,0
51085,7,7,7
51087,35,33,28
51101,0,0,0
51107,34,29,26
51109,0,0,0
51127,0,0,0
51131,0,0,0
51145,0,0,0
51153,43,43,42
51169,0,0,0
51191,7,7,7
51510,20,21,21
51520,0,0,1
51550,21,20,20
51600,0,0,0
51610,0,0,0
51650,14,14,12
51683,1,0,0
51685,0,0,0
51700,18,20,19
51710,14,14,14
51740,0,0,0
51760,23,22,21
51800,7,8,10
51810,36,35,36
53011,51,65,79
53015,7,10,13
53033,320,370,400
53053,111,142,175
53059,0,0,0
53061,108,124,135
54037,7,7,7
55021,7,7,8
55025,85,88,82
55027,7,12,14
55045,4,6,6
55049,0,0,0
55055,9,9,14
55079,124,138,146
55089,7,7,7
55093,0,0,0
55101,19,21,21
55105,21,22,29
55109,7,9,11
55111,7,7,8
55117,13,14,14
55127,11,14,17
55131,13,16,20
55133,41,43,45
