co_fips,week_1,week_2,week_3
37077,56,56,55
37081,545,473,361
37085,92,96,79
37097,139,134,120
37101,195,197,181
37105,46,42,36
37109,49,47,42
37119,1031,963,844
37121,15,21,15
37135,184,158,105
37145,0,0,0
37151,77,76,65
37157,62,51,39
37159,84,88,92
37167,43,45,38
37169,36,30,23
37171,49,57,56
37179,202,177,152
37183,1896,1832,2179
37197,29,35,30
39015,26,29,28
39017,343,363,355
39023,107,115,122
39025,242,244,218
39027,35,32,30
39035,1686,1391,1034
39041,310,260,188
39043,94,90,78
39045,143,150,153
39049,1709,1622,1407
39055,84,70,55
39057,157,164,164
39061,909,950,862
39083,58,51,39
39085,238,214,173
39089,159,172,174
39093,470,390,291
39097,0,0,0
39101,74,65,48
39103,237,197,151
39109,77,85,89
39113,455,483,482
39117,21,21,21
39129,0,0,0
39133,216,185,156
39135,14,17,21
39151,371,349,302
39153,766,632,455
39159,75,76,65
39165,256,275,271
39169,97,95,78
40037,23,30,36
40111,4,7,14
40113,14,15,16
40117,0,0,0
40131,41,52,63
40143,360,436,522
40145,55,60,62
40147,14,14,18
41005,398,358,305
41009,42,45,37
41047,270,253,214
41051,960,855,728
41067,723,668,581
41071,73,66,52
42003,1568,1489,1150
42005,28,28,22
42007,147,141,111
42011,301,287,231
42017,703,660,526
42019,189,183,146
42025,73,67,58
42029,683,650,524
42045,728,701,553
42051,70,68,60
42073,21,21,19
42077,459,433,346
42089,194,185,147
42091,1135,1073,839
42095,504,471,383
42101,2655,2464,1859
42125,213,206,178
42129,290,273,237
42133,398,378,306
44001,41,29,20
44003,120,99,75
44005,55,49,33
44007,420,349,251
44009,89,85,72
45007,100,101,85
45013,137,144,130
45015,172,221,230
45019,473,523,497
45035,175,204,198
45045,397,393,335
45053,12,14,14
45057,98,123,115
45059,23,29,34
45077,102,88,59
45083,179,181,159
45091,224,249,245
47001,39,49,43
47003,18,21,21
47009,70,83,80
47019,29,29,24
47021,20,16,12
47037,698,751,645
47047,45,51,49
47059,42,42,40
47073,23,28,28
47093,326,390,384
47105,29,28,28
47117,14,14,14
47119,61,66,59
47123,14,20,19
47129,7,7,7
47145,23,28,28
47149,228,260,234
47155,56,57,56
47157,1148,1315,1160
47163,98,114,116
47167,60,74,80
47171,0,0,0
47179,98,109,113
47187,240,243,210
47189,118,117,99
48015,10,16,21
48019,7,12,14
48021,75,84,93
48029,2208,2392,2240
48039,468,540,519
48055,56,54,44
48071,14,17,21
48085,956,1084,1070
48091,137,158,165
48113,1650,1944,2079
48121,547,624,692
48139,108,139,153
48157,1468,1659,1493
48167,493,626,643
48181,41,57,70
48187,102,162,223
48201,4920,5779,5997
48209,290,585,1030
48221,16,21,15
48251,82,95,98
48257,77,81,73
48259,28,35,35
48325,0,0,0
48339,720,740,595
48367,61,73,77
48397,77,97,105
48407,7,11,14
48439,1184,1552,1773
48453,1781,1825,1659
48471,52,51,62
48473,24,28,28
48481,15,21,21
48491,534,348,160
48497,23,30,30
49011,424,484,449
49029,0,0,0
49035,1800,1877,1693
49043,70,65,53
49045,55,72,73
49049,529,600,589
49051,32,32,28
49057,0,0,0
51007,7,7,7
51013,472,403,300
51033,34,35,29
51041,402,360,308
51043,16,14,9
51049,0,0,0
51059,1387,1221,993
51061,43,40,31
51075,21,17,14
51085,93,81,70
51087,360,339,298
51101,7,7,7
51107,546,484,389
51109,26,18,13
51127,17,15,11
51131,7,7,7
51145,9,14,14
51153,521,466,377
51169,7,7,7
51191,27,31,30
51510,271,231,183
51520,7,7,7
51550,214,204,187
51600,9,6,0
51610,28,21,15
51650,136,136,125
51683,40,34,23
51685,14,14,9
51700,176,169,150
51710,161,173,172
51740,7,2,0
51760,243,229,198
51800,83,81,68
51810,415,382,326
53011,331,309,275
53015,52,49,40
53033,2789,2463,1869
53053,757,682,599
53059,7,2,0
53061,769,696,582
54037,111,96,66
55021,74,61,41
55025,1063,969,781
55027,55,49,41
55045,35,30,25
55049,28,31,30
