ds_uid,population,report,total,report_per_100K,total_per_100K,weightedR,report_1,report_2,report_3,total_1,total_2,total_3,report_per_100K_1,report_per_100K_2,report_per_100K_3,total_per_100K_1,total_per_100K_2,total_per_100K_3
33,7407171,25067,101279,338.415300524316,1367.31013770304,1.07169006628847,8147,8212,8708,31136,33543,36600,109.988010267348,110.865538273654,117.561751983315,420.349415451594,452.844952546661,494.11576970479
34,4260729,13966,58097,327.784282924354,1363.54600351254,1.07062470530278,4551,4574,4841,17819,19203,21075,106.812707402888,107.3525211296,113.619054391866,418.214817229634,450.697521480479,494.633664802432
35,4225240,16599,45746,392.853423710842,1082.68406055041,0.797936337344151,6600,5532,4467,19246,14943,11557,156.204144616637,130.927473942309,105.721805151897,455.500752619969,353.66038378885,273.522924141587
36,1155479,9651,34973,835.23802682697,3026.71013493105,1.02332441351163,3128,3283,3240,12523,11822,10628,270.710242245856,284.124592485021,280.403192096092,1083.79295512943,1023.12547437037,919.791705431254
37,2308963,19182,68623,830.762554445437,2972.02683628971,0.987117918303585,6252,6558,6372,25139,23006,20478,270.770904514278,284.023607134458,275.968042796701,1088.75716068209,996.378027712008,886.891647895614
38,1090162,8184,30185,750.714114049105,2768.85453721557,0.992163852711799,2639,2807,2738,10860,10177,9148,242.07411375557,257.484667416402,251.155332877132,996.182218789501,933.530979799333,839.141338626736
39,3000911,24352,87374,811.486911807781,2911.58251610927,0.980442858851862,7918,8341,8093,31920,29357,26097,263.853209908591,277.948929508406,269.684772390784,1063.67699675199,978.269598798498,869.63592055879
40,2448737,11410,34573,465.954490008523,1411.87069089086,0.854394338795877,4421,3777,3212,13514,11503,9556,180.542050861322,154.24277903262,131.169660114582,551.87633461658,469.75236621981,390.241990054465
41,7121308,26903,83229,377.781722121835,1168.73192396678,0.840690366151836,10315,8966,7622,33221,27409,22599,144.846985975048,125.903836767066,107.030899379721,466.50137867931,384.887158370344,317.343386917123
42,2227083,4628,9721,207.805456734212,436.490243066828,0.787892530273905,2253,1376,999,3873,3205,2643,101.163719538068,61.7848548976397,44.8568822985044,173.904609751859,143.910217984691,118.675415330277
43,1530304,12144,43115,793.567813976831,2817.41405629208,0.997176900798796,3985,4155,4004,15703,14465,12947,260.405775584459,271.514679436243,261.647358956129,1026.13598343858,945.237024800301,846.041048053197
44,7672397,36272,112879,472.759686444797,1471.23513029891,0.890884866880585,13581,12053,10638,43342,37260,32277,177.011173952547,157.095624744131,138.652887748118,564.908202742898,485.637018001024,420.689909554993
45,1510068,5365,14595,355.282013790107,966.51276631251,0.797412407918054,2120,1772,1473,5862,4774,3959,140.391028748374,117.345708934962,97.5452761067714,388.194438925929,316.14470341733,262.173623969252
46,575921,3302,10553,573.34252440873,1832.36937010458,0.942022169707304,1216,1090,996,3750,3508,3295,211.140069558151,189.262068929593,172.940385920986,651.130971088049,609.111319087166,572.127079929365
47,1175142,10936,41634,930.610938933337,3542.89098679138,1.04154422188978,3499,3670,3767,13970,13883,13781,297.751250487175,312.302683420387,320.557005025776,1188.79250337406,1181.38914275892,1172.70934065841
48,802122,3629,10191,452.424942839119,1270.50498552589,0.837415044095537,1529,1162,938,4096,3358,2737,190.619382089009,144.865743615061,116.939817135049,510.645512777358,418.639558570891,341.219914177644
49,5408081,29757,106276,550.232143342528,1965.13328849919,0.964686122489659,10329,9943,9485,37417,35543,33316,190.991961843767,183.8544947829,175.385686715861,691.872033721388,657.220185866299,616.041068911505
50,5183302,14828,40731,286.072468862513,785.811824200095,0.840111102922423,6037,4903,3888,16492,13154,11085,116.47015744018,94.592211682823,75.0100997395097,318.175556816871,253.776453696891,213.859813686334
51,798753,3767,13161,471.610122278101,1647.69334199684,0.910178440644354,1349,1255,1163,4807,4363,3991,168.888254566806,157.119910660742,145.601957050553,601.813076132421,546.226430448462,499.653835415955
52,1336413,8241,32614,616.65069106631,2440.41325548315,1.05524364848292,2544,2759,2938,10595,10932,11087,190.360315261824,206.448156370822,219.842219433663,792.793844417856,818.010600016612,829.60881104868
53,2470546,11252,35323,455.445881193874,1429.76491836218,0.87,4060,3823,3369,14191,11770,9362,164.33614269882,154.743121560983,136.36661693407,574.407438679547,476.412906296827,378.944573385802
54,1068376,3492,9123,326.851220918478,853.912854650423,0.766687682988012,1413,1161,918,3935,2984,2204,132.256808464436,108.669606954855,85.9248054991875,368.316023572226,279.302417875355,206.294413202842
55,1240262,6068,17273,489.251464609897,1392.68960913097,0.878897402323058,2429,1967,1672,6537,5747,4989,195.845716469585,158.595522558943,134.810225581369,527.066055397972,463.369836373282,402.253717359719
56,1050153,6439,22670,613.14875070585,2158.73306080162,0.917402778452283,2333,2136,1970,8276,7526,6868,222.158104580952,203.398933298291,187.591712826607,788.075642311168,716.657477529465,653.999940960984
57,1630640,9763,33600,598.721974194181,2060.54064661728,0.977986796595202,3430,3249,3084,11975,11182,10443,210.346857675514,199.246921454153,189.128195064515,734.374233429819,685.743021145072,640.423392042388
58,2802550,12598,32122,449.519187882464,1146.17045190987,0.769293832402633,5282,4138,3178,14101,10450,7571,188.47121371608,147.651246186509,113.396727979875,503.148917949724,372.874703395122,270.146830565021
59,954027,7976,28225,836.03503884062,2958.5116563787,0.968828513239143,2753,2669,2554,10226,9456,8543,288.56625651056,279.76147425597,267.70730807409,1071.87742066,991.166916659591,895.467319059104
60,1292505,6698,24001,518.218498187628,1856.93672364904,0.890182366799355,2234,2293,2171,9239,8060,6702,172.842658248904,177.407437495406,167.968402443317,714.813482346296,623.595266556029,518.527974746713
61,594884,6722,22725,1129.96819548013,3820.07248471971,0.937628109009487,2370,2245,2107,8100,7594,7031,398.396998406412,377.384498490462,354.186698583253,1361.60999455356,1276.55139489379,1181.91109527236
62,1711755,9029,24299,527.470344763123,1419.53725854459,0.813955577754994,3636,3000,2393,10323,7964,6012,212.413575540892,175.258725693805,139.798043528425,603.065275112385,465.253497141822,351.218486290386
63,2425020,12118,35689,499.707218909535,1471.6992024808,0.851908231684687,4649,4018,3451,14103,11744,9842,191.70975909477,165.689355139339,142.308104675425,581.562213919885,484.284665693479,405.85232286744
64,2478896,4881,14922,196.902169352809,601.961518353331,0.887160756239875,1868,1591,1422,5529,4960,4433,75.3561262755678,64.1817970580452,57.3642460191956,223.042838424847,200.089071909431,178.829608019054
65,1477265,4398,13808,297.712326495246,934.700273816817,0.832138945957563,1663,1452,1283,5092,4579,4137,112.572896535151,98.2897449002041,86.8496850598911,344.691033768484,309.964698276883,280.044541771449
66,1283305,8522,28488,664.066609262802,2219.89316647251,0.908123758576488,3161,2788,2573,10242,9542,8704,246.317126482013,217.251549709539,200.49793307125,798.095542369117,743.54888354678,678.24874055661
67,2642153,7652,26825,289.612297243952,1015.27050098916,0.938977405926152,2662,2538,2452,9220,8991,8614,100.751167703006,96.0580254057959,92.8031041351504,348.957838550606,340.290664469469,326.02199796908
68,2169241,6532,22589,301.119147204022,1041.33196818611,1.00966618278006,2279,2144,2109,7566,7511,7512,105.059788193198,98.8364132892565,97.2229457215681,348.785589060874,346.250140025935,346.296239099298
69,1206859,4753,14513,393.832253809269,1202.54313055626,0.818715193738457,1837,1580,1336,5665,4859,3989,152.213307436909,130.918359145517,110.700587226843,469.400319341365,402.615384232955,330.527426981942
70,707274,4298,16521,607.685281800264,2335.86983262498,1.00183874990456,1296,1483,1519,5890,5584,5047,183.238744814598,209.678285925964,214.768251059702,832.774851047826,789.510147411046,713.584834166108
71,534501,2344,8044,438.539871768247,1504.95508895213,0.972201062299229,859,768,717,2826,2665,2553,160.7106441335,143.685418736354,134.143808898393,528.717439256428,498.595886630708,477.64176306499
72,2069416,8095,26457,391.173161896883,1278.4766330211,0.957817456712425,3085,2603,2407,9162,8778,8517,149.075874546249,125.784279236268,116.313008114367,442.733602137028,424.177642387997,411.565388496078
73,412030,1918,8762,465.500084945271,2126.54418367595,1.03543324515205,607,627,684,2539,2865,3358,147.31936994879,152.1733854331,166.007329563381,616.217265733078,695.337718127321,814.989199815547
74,2185288,10400,38679,475.909811429889,1769.97265349007,0.977879322999989,3573,3402,3425,12701,12889,13089,163.502476561442,155.677421008123,156.729913860324,581.204857208752,589.807842261523,598.959954019791
75,1305097,4701,14034,360.203111339617,1075.32237067436,0.942389278344828,1894,1500,1307,4933,4673,4428,145.123312673311,114.933985749718,100.145812916588,377.97956780224,358.057676938955,339.285125933168
76,3888667,14044,46282,361.152034874676,1190.17647949799,0.879323511115763,4980,4712,4352,17254,15345,13683,128.064449848753,121.172628049663,111.914956976259,443.69960194586,394.608229503838,351.86864804829
77,740733,1737,6341,234.497450498358,856.043945659232,0.894653124186692,600,573,564,2056,2095,2190,81.0008464588455,77.3558083681974,76.1407956713148,277.562900532311,282.827955552136,295.653089574786
78,2403112,7642,26068,318.004321063687,1084.76009441091,0.969387877052755,2675,2562,2405,9370,8631,8067,111.313996184947,106.611760084424,100.078564794317,389.91108196372,359.159290120477,335.689722326716
79,2572985,5366,15435,208.551546161365,599.886901789167,0.874547444893786,2157,1737,1472,5777,5084,4574,83.8325913287485,67.5091382188392,57.2098166137774,224.525210990348,197.591513358997,177.770177439822
80,941952,5544,23235,588.565022421525,2466.68620057073,1.06797307081465,1728,1846,1970,7441,7778,8016,183.448838157358,195.976015763011,209.140168501155,789.955326810708,825.732096752276,850.998777007746
81,3312510,17119,64401,516.798439853766,1944.17526286713,0.978561226984975,5958,5700,5461,22329,21513,20559,179.863607958919,172.074952226559,164.859879668288,674.080983906464,649.447096008767,620.647182951901
82,9129851,38474,123706,421.408848841016,1354.96187177644,0.881672774287335,14136,12944,11394,47832,41167,34707,154.832756854411,141.776683978742,124.799408007863,523.907783380035,450.905496705258,380.148591691146
83,892661,7564,28523,847.35414675896,3195.27793865756,0.991426902261889,2347,2592,2625,9995,9812,8716,262.921758651941,290.367787995667,294.064600111352,1119.68597261446,1099.18546906384,976.406496979256
84,1366679,7194,28238,526.385493594326,2066.17647596839,1.05854551068685,2279,2395,2520,9045,9510,9683,166.754592702456,175.242320983933,184.388579907937,661.82329574099,695.847378938288,708.50580128911
85,2163306,10245,35777,473.580713962796,1653.81134245456,0.955641504253212,3530,3420,3295,12556,11949,11272,163.176175723638,158.091365715252,152.313172523906,580.407949684418,552.349043547237,521.054349222902
86,1061659,2954,11446,278.243767537411,1078.12395505525,1.0354899925494,930,995,1029,3789,3869,3788,87.5987487507759,93.7212419430344,96.9237768436004,356.894257007193,364.429633243819,356.800064804236
87,1097455,3689,12733,336.14134520322,1160.22980441111,0.956194878149901,1286,1226,1177,4438,4271,4024,117.180203288518,111.713008733843,107.248133180859,404.390157227403,389.17313238356,366.666514800151
88,3554676,16190,55798,455.456418531534,1569.70705628305,0.96256239668538,5665,5394,5131,19912,18641,17245,159.367548547322,151.743787619462,144.34508236475,560.163570463243,524.407850391991,485.135635427814
89,764890,2791,10185,364.88906901646,1331.56401574083,0.988770633685889,933,932,926,3479,3376,3330,121.978323680529,121.847585927388,121.063159408542,454.83664317745,441.37065460393,435.356717959445
90,646777,1989,7179,307.524850141548,1109.96525850486,0.938369669917143,673,670,646,2629,2400,2150,104.054411334973,103.590572948636,99.8798658579387,406.477039226812,371.070709069741,332.41751020831
91,2950823,7192,23131,243.728614017174,783.883004843056,0.884606972359915,2677,2375,2140,8385,7662,7084,90.7204532430444,80.4860203407659,72.5221404333638,284.158012866241,259.656373831978,240.068618144836
92,3979845,7708,19882,193.675884362331,499.567194199774,0.733435153881621,3437,2467,1804,8687,6482,4713,86.360147191662,61.9873387028892,45.3283984677795,218.274832311309,162.870664561057,118.421697327408
