county,id,day_to_overload
Kings County NY,36047,14
Queens County NY,36081,9
New York County NY,36061,23
Bronx County NY,36005,15
Richmond County NY,36085,13
Westchester County NY,36119,14
Bergen County NJ,34003,14
Hudson County NJ,34017,13
Passaic County NJ,34031,13
Putnam County NY,36079,14
Rockland County NY,36087,4
